arxiv_id	mapping_kind	disposition_code	flag_resolution	reason	source
2608.03859	non_candidate_class	different_task	false_positive	The reported F1, recall, and ranking gains concern candidate-source plagiarism retrieval, not human-versus-machine authorship detection.	https://arxiv.org/abs/2608.03859
2608.01046	explicit_disposition	retain_reject	candidate_disposition	The high GLC random-split metrics lack a released checkpoint and cross-distribution, low-FPR, or fixed A6000 comparison.	https://arxiv.org/abs/2608.01046
2607.23805	non_candidate_class	evaluation_study	not_flagged	This is a secondary study of fraudulent survey responses that uses existing detectors rather than proposing a detector.	https://arxiv.org/abs/2607.23805
2607.22026	explicit_disposition	retain_reject	candidate_disposition	The training-free method trails stronger candidates on reported M4/MAGE results and has no released detector state or fixed deployment comparison.	https://arxiv.org/abs/2607.22026
2607.17382	explicit_disposition	released_watchlist	candidate_disposition	The released ModernBERT and PAN result lack a same-row Binoculars result, low-FPR transfer, 2,048-token memory, and A6000 timing.	https://arxiv.org/abs/2607.17382
2607.14967	explicit_disposition	exclude_retrieval	candidate_disposition	Official inference uses k-nearest-neighbor classification over retained representations, violating the no-retrieval constraint.	https://arxiv.org/abs/2607.14967
2607.14905	non_candidate_class	different_task	false_positive	The improvement percentages concern multi-class LLM authorship attribution from reasoning graphs, not the fixed binary general-document task.	https://arxiv.org/abs/2607.14905
2607.03680	explicit_disposition	retain_reject	candidate_disposition	The strong in-distribution RoBERTa baseline is distribution-shift evidence, not a released low-FPR detector with fixed DW1 parity.	https://arxiv.org/abs/2607.03680
2606.31074	explicit_disposition	exclude_generation	candidate_disposition	Inference generates summaries and simplifications and aggregates transformed views, violating regeneration, rewriting, and multi-view constraints.	https://arxiv.org/abs/2606.31074
2606.23336	explicit_disposition	retain_reject	candidate_disposition	The released checkpoint is fast, but the frozen same-row screen measured 0.8906 AUROC versus 0.9595 for Binoculars.	https://arxiv.org/abs/2606.23336
2606.18946	non_candidate_class	different_unit	false_positive	The SOTA Macro-F1 claim is for sentence labeling inside hybrid documents, not general document-level binary detection.	https://arxiv.org/abs/2606.18946
2606.07313	explicit_disposition	reconstruction_only	candidate_disposition	Near-perfect matched-family AUROC is supervised and the release omits trained steering directions and classifier state.	https://arxiv.org/abs/2606.07313
