parent_id	composite_kind	resolution	expected_result_count	inspected_scope	evidence_source	reason
2607.23805	evaluation_study	no_qualifying_result	0	Abstract, detector-use description, reported survey-response labels, and conclusion were inspected; detector output percentages are not validated accuracy metrics.	https://arxiv.org/abs/2607.23805	The work uses Scribbr scores to study fraudulent survey responses but supplies no labeled detector evaluation or qualifying embedded system result.
2606.04906	benchmark	expanded_results	2	Figure 5 document-level detector F1/FPR values and Table 2 cross-dataset AUROC/F1 rows were inspected for every named detector.	https://arxiv.org/abs/2606.04906	Pangram and GPTZero exceed the threshold only on the new mixed-authorship document notion, so both receive explicit scope and artifact dispositions.
2606.04177	systematic_analysis	expanded_results	1	The SVM method, Tables 2 through 15, every testbed/domain/model slice, comparison baselines, cross-domain results, repository link, and artifact statements were inspected.	https://arxiv.org/abs/2606.04177	The proposed linguistic-feature SVM and its many fitted testbed states remain handled by the explicit parent disposition; the separately named MAGE Longformer comparison baseline also exceeds 0.90 and receives its own child disposition.
2605.20761	shared_task_overview	expanded_results	8	Task A leaderboard Table 2, system descriptions, bibliography, and every score at or above 0.90 were inspected; Task B is attribution.	https://arxiv.org/abs/2605.20761	All eight qualifying Task A systems are expanded, including four primary-paper carry-forwards and explicit primary-paper absence for three teams.
2605.15518	benchmark	expanded_results	4	Every GECScore, X-Rob, mDeBERTa, and BiScope cell in binary and ternary Table 2, including language-specific best F1 and one-percent-FPR F1, plus training, robustness, and artifact sections were inspected.	https://arxiv.org/abs/2605.15518	All four named detectors cross 0.90 on at least one binary language or aggregate cell; the weaker multilingual averages and distinct artifact states remain beside each high value.
2605.14240	attack_evaluation	no_qualifying_result	0	Initial and post-attack ensemble tables, every component/ensemble F1, detector descriptions, Binoculars background claims, and artifact statements were inspected.	https://arxiv.org/abs/2605.14240	The paper's greater-than-90-percent Binoculars language summarizes prior literature rather than this evaluation; locally the best initial ensemble F1 is 0.8061 and falls to 0.6716 after attack, so no embedded result qualifies.
2604.16607	evaluation_study	expanded_results	12	All fifteen systems in Figure 1 and Table 2 were inspected across seven datasets, including every named best-dataset AUROC at or above 0.90, each corresponding low and mean, method variants, and official release links.	https://arxiv.org/abs/2604.16607	Twelve named detector variants reach 0.90 AUROC on at least one dataset; every one is expanded even though means are at most 0.80 and every variant has a worst-dataset value at or below 0.60.
2604.11796	language_benchmark	expanded_results	12	Tables 2 through 4 and 11 through 18 were inspected across every named method, five domains, nine generators, fine-tuning, external Chinese, and M4 transfer settings.	https://arxiv.org/abs/2604.11796	Twelve named methods or trained families cross 0.90 on at least one domain, generator, or transfer cell; low domain means and method exclusions are retained individually rather than hidden by aggregation.
2603.27949	language_shared_task	expanded_results	13	Every named row and all overall, normal, attack, and 64/128/256/512-token cells in official test Table 3, plus model descriptions, artifacts, and inference composition were inspected.	https://arxiv.org/abs/2603.27949	Thirteen detector configurations reach 0.90 on an aggregate, attack, or length bucket; every baseline and specialist version receives a separate disposition with the weaker official aggregate.
2603.23146	primary_detector_analysis	expanded_results	8	The four proposed fitted classifiers, PAN leaderboard comparisons, cross-validation, cross-dataset Tables 4 through 10, ensemble variants, generator shifts, error analysis, and release statements were inspected.	https://arxiv.org/abs/2603.23146	Eight named embedded systems or variants cross 0.90: mdok, the TF-IDF baseline, four fitted classifier variants, and two external-test ensembles; every high result is explicit despite weak transfer or absent states.
2603.18750	comparative_study	expanded_results	13	Every overall and class-specific value in the 60-text English, Italian, cross-domain, and thematic Tables 3 through 6, all service/model identities, notebooks, and checkpoint statements were inspected.	https://arxiv.org/abs/2603.18750	All twelve unique named detectors with a high overall or class-only value are dispositioned, with GPTZero's two distinct test results retained separately for thirteen rows and class-collapse evidence made explicit.
2512.21709	comparative_study	expanded_results	7	Zero-shot Tables 2-3 and fine-tuned Tables 4-5 were inspected across accuracy, precision, recall, binary/macro F1, AUROC, calibration, and model-specific settings.	https://arxiv.org/abs/2512.21709	Four fine-tuned transformers have high AUROC or balanced metrics, while three zero-shot variants cross 0.90 only on recall with chance accuracy; all seven states receive separate dispositions.
2512.09292	bias_evaluation	expanded_results	3	Table 2 precision, recall, F1, and AUROC for every audited detector plus Appendix B artifact descriptions were inspected.	https://arxiv.org/abs/2512.09292	Glimpse, Binoculars, and Desklib each exceed 0.90 AUROC; their mechanisms, public-state status, and fixed-screen implications are recorded separately.
2510.22874	dataset_benchmark	no_qualifying_result	0	Dataset construction, rewriting baseline, Table 2 binary detection and attribution accuracy, and release statements were inspected.	https://arxiv.org/abs/2510.22874	The only binary baseline is rewrite-based and achieves 0.53 accuracy; no embedded system reaches the frozen threshold or strong-result rule.
2510.20610	language_shared_task	no_qualifying_result	0	All transformer variants, development/test tables, official task score, comparative claims, and release statements were inspected.	https://arxiv.org/abs/2510.20610	The best official Arabic shared-task macro F1 is 0.7701, so no system has a qualifying aggregate result despite comparative title language.
2510.19492	evaluation_suite	expanded_results	16	Every named row and every domain/generator cell in white-box Table 3 and black-box Table 4, plus method definitions, implementation settings, retrieval/perturbation paths, and artifact citations were inspected.	https://arxiv.org/abs/2510.19492	All sixteen named MIA or detector methods cross 0.90 in at least one white-box or black-box cell; every method receives a separate disposition even when its mean is weak or its access path is excluded.
2510.16573	comparative_case_study	expanded_results	3	Training Table 4, held-out test Table 5, every accuracy/F1/precision value, model descriptions, dataset split, language scope, and artifact statements were inspected.	https://arxiv.org/abs/2510.16573	mDeBERTa exceeds 0.90 test accuracy/F1, DistilBERT exceeds 0.90 test precision, and XLM-R exceeds 0.90 training accuracy/F1/precision; all three states are explicit with weaker held-out values preserved.
2510.12476	benchmark	expanded_results	6	Table 2 and full Tables 10-11 were inspected for every named detector across M4 general generators and personalized Stylo-Blog and Stylo-Literary generators, together with proxy, perturbation, and feature-inversion details.	https://arxiv.org/abs/2510.12476	Six named detectors exceed 0.90 AUROC on at least one generator-level aggregate and are expanded individually despite severe collapse or inversion on personalized writing.
2510.03502	language_dataset_benchmark	expanded_results	13	Overall Table 10 was inspected for every BERT, traditional, and prompted-LLM row across accuracy, macro F1, and ROC-AUC.	https://arxiv.org/abs/2510.03502	Ten BERT-family models and three traditional classifiers exceed 0.90 ROC-AUC on the Arabic benchmark and each receives an explicit scope/artifact disposition.
2509.26051	language_benchmark	expanded_results	7	Tables 2 through 6 were inspected for every named fine-tuned, statistical, and pretrained detector across languages, generators, domains, paraphrasing, fixed-FPR metrics, compute, and model variants.	https://arxiv.org/abs/2509.26051	Four fine-tuned backbones and three statistical methods cross 0.90 on an aggregate or isolated generator/language/domain cell; all seven receive individual dispositions with weaker means preserved.
