parent_id	account_id	predecessor_witness_id	predecessor_join_kind	predecessor_join_key	predecessor_metric_value	predecessor_raw_candidate_id	successor_join_kind	evidence_kind	method_state	source_identity_label	identity_page	identity_line	identity_locator	identity_text	metric_page	metric_line	metric_locator	metric_text	metric_name	metric_column	metric_column_index	evaluation_scope	metric_value	raw_candidate_id	evidence_source_kind	evidence_source_path	source_text_sha256	evidence_span_sha256	negative_kind	header_page	header_line	header_locator	header_text	header_sha256	negative_page	negative_line	negative_locator	negative_text	negative_value	negative_reason
2501.03940	2501.03940:ens-2gpt2	2501.03940:ens-2gpt2@118a909d3e3b1c3c	same_window	page=13;identity_line=792;metric_line=792	0.983	2501.03940:b8d7a7b23406567e	source_owned_row_join	table_row	PAWN ensemble 2 GPT-2	2gpt2	13	792	following Table 8: Results from running several ensembles of our model, by simply averaging the final logits, on MAGE’s testbeds	2 GPT2 93.89% 92.27% 93.08% 0.983	13	792	following Table 8: Results from running several ensembles of our model, by simply averaging the final logits, on MAGE’s testbeds	2 GPT2 93.89% 92.27% 93.08% 0.983	AUROC	numeric cell 5 of 5 in exact result row	5	following Table 8: Results from running several ensembles of our model, by simply averaging the final logits, on MAGE’s testbeds; exact row/configuration for PAWN ensemble 2 GPT-2; Review 26 successor re-audit binds this account to the recorded source state, exact row, and numeric column without inheriting the predecessor metric.	0.983	2501.03940:b8d7a7b23406567e	extracted_primary_pdf_text	papers/canonical_pawn_2501.03940.pdf	0f275dc5864d2b84cb81898bd52d10dd64146522d34cb9ac6d18197fb8bc72db	7ec8c7e1b5f6cd136f3053ecab751da2829431a3f49ad3499f10aeb6e4adc058	wrong_column	13	786	following Table 8: Results from running several ensembles of our model, by simply averaging the final logits, on MAGE’s testbeds	Setting Backbones HumanRec MachineRec AvgRec AUROC	a5cb24a3a95c5ecb97336b4cdd2b33ca2689eb1b7b0dcfce1f30f6925efb7a76	13	792	following Table 8: Results from running several ensembles of our model, by simply averaging the final logits, on MAGE’s testbeds	2 GPT2 93.89% 92.27% 93.08% 0.983	93.08	The derived alternate numeric result cell in the same source row is not the declared account metric column.
2501.03940	2501.03940:ens-2gpt2-2llama	2501.03940:ens-2gpt2-2llama@3a036c2fb4d0ee69	table_configuration_join	locator=table4;identity_line=666	92.25	2501.03940:7abdc64ee90e5bee	source_owned_state_join	table_row	PAWN ensemble 2 GPT-2 + 2 Llama	Setting Backbones HumanRec MachineRec AvgRec AUROC All source models & all domains	13	786	following Table 8: Results from running several ensembles of our model, by simply averaging the final logits, on MAGE’s testbeds	Setting Backbones HumanRec MachineRec AvgRec AUROC	13	791	following Table 8: Results from running several ensembles of our model, by simply averaging the final logits, on MAGE’s testbeds	All source models & all domains 2 GPT2, 2 LLaMA3-1b 95.86% 93.55% 94.71% 0.989	AUROC	numeric cell 7 of 7 in exact result row	7	following Table 8: Results from running several ensembles of our model, by simply averaging the final logits, on MAGE’s testbeds; exact row/configuration for PAWN ensemble 2 GPT-2 + 2 Llama; Review 26 successor re-audit binds this account to the recorded source state, exact row, and numeric column without inheriting the predecessor metric.	0.989	2501.03940:9c812e4a1a7e305d	extracted_primary_pdf_text	papers/canonical_pawn_2501.03940.pdf	0f275dc5864d2b84cb81898bd52d10dd64146522d34cb9ac6d18197fb8bc72db	85fe96dc5b54b3de6a9ef62a11e20cfbefbbd67a2c3c0fb483f2ff7c0a082f9e	wrong_column	13	786	following Table 8: Results from running several ensembles of our model, by simply averaging the final logits, on MAGE’s testbeds	Setting Backbones HumanRec MachineRec AvgRec AUROC	a5cb24a3a95c5ecb97336b4cdd2b33ca2689eb1b7b0dcfce1f30f6925efb7a76	13	791	following Table 8: Results from running several ensembles of our model, by simply averaging the final logits, on MAGE’s testbeds	All source models & all domains 2 GPT2, 2 LLaMA3-1b 95.86% 93.55% 94.71% 0.989	94.71	The derived alternate numeric result cell in the same source row is not the declared account metric column.
2501.03940	2501.03940:ens-2llama	2501.03940:ens-2llama@d42061141bbfd7f2	table_configuration_join	locator=table4;identity_line=666	92.25	2501.03940:7abdc64ee90e5bee	source_owned_state_join	table_row	PAWN ensemble 2 Llama	Setting Backbones HumanRec MachineRec AvgRec AUROC	13	786	following Table 8: Results from running several ensembles of our model, by simply averaging the final logits, on MAGE’s testbeds	Setting Backbones HumanRec MachineRec AvgRec AUROC	13	793	following Table 8: Results from running several ensembles of our model, by simply averaging the final logits, on MAGE’s testbeds	2 LLaMA3-1b 94.41% 94.50% 94.46% 0.988	AUROC	numeric cell 6 of 6 in exact result row	6	following Table 8: Results from running several ensembles of our model, by simply averaging the final logits, on MAGE’s testbeds; exact row/configuration for PAWN ensemble 2 Llama; Review 26 successor re-audit binds this account to the recorded source state, exact row, and numeric column without inheriting the predecessor metric.	0.988	2501.03940:2d980d412d5a71d6	extracted_primary_pdf_text	papers/canonical_pawn_2501.03940.pdf	0f275dc5864d2b84cb81898bd52d10dd64146522d34cb9ac6d18197fb8bc72db	6e029aa9dd534a8c8a43484d34baf895a25af99dbc3441b1fa8c323d41ef6c39	wrong_column	13	786	following Table 8: Results from running several ensembles of our model, by simply averaging the final logits, on MAGE’s testbeds	Setting Backbones HumanRec MachineRec AvgRec AUROC	a5cb24a3a95c5ecb97336b4cdd2b33ca2689eb1b7b0dcfce1f30f6925efb7a76	13	793	following Table 8: Results from running several ensembles of our model, by simply averaging the final logits, on MAGE’s testbeds	2 LLaMA3-1b 94.41% 94.50% 94.46% 0.988	94.46	The derived alternate numeric result cell in the same source row is not the declared account metric column.
2501.03940	2501.03940:ens-gpt2-llama	2501.03940:ens-gpt2-llama@c82521422758b5b0	same_window	page=10;identity_line=569;metric_line=569	95.07	2501.03940:0ab0a83a28ff291c	source_owned_state_join	table_row	PAWN ensemble 1 GPT-2 + 1 Llama	Setting Backbones HumanRec MachineRec AvgRec AUROC	13	786	following Table 8: Results from running several ensembles of our model, by simply averaging the final logits, on MAGE’s testbeds	Setting Backbones HumanRec MachineRec AvgRec AUROC	13	790	following Table 8: Results from running several ensembles of our model, by simply averaging the final logits, on MAGE’s testbeds	1 GPT2, 1 LLaMA3-1b 94.59% 93.92% 94.26% 0.988	AUROC	numeric cell 7 of 7 in exact result row	7	following Table 8: Results from running several ensembles of our model, by simply averaging the final logits, on MAGE’s testbeds; exact row/configuration for PAWN ensemble 1 GPT-2 + 1 Llama; Review 26 successor re-audit binds this account to the recorded source state, exact row, and numeric column without inheriting the predecessor metric.	0.988	2501.03940:bc05519aab224ea5	extracted_primary_pdf_text	papers/canonical_pawn_2501.03940.pdf	0f275dc5864d2b84cb81898bd52d10dd64146522d34cb9ac6d18197fb8bc72db	236aa4c1a4c10c1d76b273b77e2712000a8ca14a7a7789989de38a9fb18074d4	wrong_column	13	786	following Table 8: Results from running several ensembles of our model, by simply averaging the final logits, on MAGE’s testbeds	Setting Backbones HumanRec MachineRec AvgRec AUROC	a5cb24a3a95c5ecb97336b4cdd2b33ca2689eb1b7b0dcfce1f30f6925efb7a76	13	790	following Table 8: Results from running several ensembles of our model, by simply averaging the final logits, on MAGE’s testbeds	1 GPT2, 1 LLaMA3-1b 94.59% 93.92% 94.26% 0.988	1	The derived alternate numeric result cell in the same source row is not the declared account metric column.
2501.03940	2501.03940:ens-gpt2-llama-qwen	2501.03940:ens-gpt2-llama-qwen@d3d53ab2fa7276fe	same_window	page=10;identity_line=569;metric_line=569	95.07	2501.03940:0ab0a83a28ff291c	source_owned_state_join	table_row	PAWN ensemble GPT-2 + Llama + Qwen	Setting Backbones HumanRec MachineRec AvgRec AUROC	13	786	following Table 8: Results from running several ensembles of our model, by simply averaging the final logits, on MAGE’s testbeds	Setting Backbones HumanRec MachineRec AvgRec AUROC	13	794	following Table 8: Results from running several ensembles of our model, by simply averaging the final logits, on MAGE’s testbeds	1 GPT2, 1 LLaMA3-1b, 1 QWEN 90.78% 96.13% 93.45% 0.987	AUROC	numeric cell 8 of 8 in exact result row	8	following Table 8: Results from running several ensembles of our model, by simply averaging the final logits, on MAGE’s testbeds; exact row/configuration for PAWN ensemble GPT-2 + Llama + Qwen; Review 26 successor re-audit binds this account to the recorded source state, exact row, and numeric column without inheriting the predecessor metric.	0.987	2501.03940:8cb2f476a49f90c1	extracted_primary_pdf_text	papers/canonical_pawn_2501.03940.pdf	0f275dc5864d2b84cb81898bd52d10dd64146522d34cb9ac6d18197fb8bc72db	12225088e35746e27be0ca286b538e3372d832bb6690384281635a8f120f0d16	wrong_column	13	786	following Table 8: Results from running several ensembles of our model, by simply averaging the final logits, on MAGE’s testbeds	Setting Backbones HumanRec MachineRec AvgRec AUROC	a5cb24a3a95c5ecb97336b4cdd2b33ca2689eb1b7b0dcfce1f30f6925efb7a76	13	794	following Table 8: Results from running several ensembles of our model, by simply averaging the final logits, on MAGE’s testbeds	1 GPT2, 1 LLaMA3-1b, 1 QWEN 90.78% 96.13% 93.45% 0.987	1	The derived alternate numeric result cell in the same source row is not the declared account metric column.
2501.03940	2501.03940:hsff-llama31-1b	2501.03940:hsff-llama31-1b@373ec4874e325791	table_configuration_join	locator=table4;identity_line=540	0.99	2501.03940:a237f4c2cf40e8e3	source_owned_row_join	table_row	HSFF Llama-3.1-1B ablation	HSFF (Llama3	12	712	following Table 7: Ablations in MAGE’s testbeds 4-8. Recalls for both classes and their macro average are reported due to	HSFF (Llama3-1b) 94.57% 83.18% 88.87% 0.960	12	712	following Table 7: Ablations in MAGE’s testbeds 4-8. Recalls for both classes and their macro average are reported due to	HSFF (Llama3-1b) 94.57% 83.18% 88.87% 0.960	AUROC	numeric cell 5 of 5 in exact result row	5	following Table 7: Ablations in MAGE’s testbeds 4-8. Recalls for both classes and their macro average are reported due to; exact row/configuration for HSFF Llama-3.1-1B ablation; Review 26 successor re-audit binds this account to the recorded source state, exact row, and numeric column without inheriting the predecessor metric.	0.960	2501.03940:35ddabd810fe9c73	extracted_primary_pdf_text	papers/canonical_pawn_2501.03940.pdf	0f275dc5864d2b84cb81898bd52d10dd64146522d34cb9ac6d18197fb8bc72db	6b0fcd4253d14bcd624450b02a76248b8e89d7dc61d3ba6a0c6b7d69ad2e84d4	wrong_column	12	706	following Table 7: Ablations in MAGE’s testbeds 4-8. Recalls for both classes and their macro average are reported due to	Setting Method HumanRec MachineRec AvgRec AUROC AvgRec var AUROC var	1b7fa3178e397aa354d7a9dbd83927b784b5dcf7528bf1bafc82355e0004059f	12	712	following Table 7: Ablations in MAGE’s testbeds 4-8. Recalls for both classes and their macro average are reported due to	HSFF (Llama3-1b) 94.57% 83.18% 88.87% 0.960	88.87	The derived alternate numeric result cell in the same source row is not the declared account metric column.
2501.03940	2501.03940:llama31-1b	2501.03940:llama31-1b@8ad3db4090c79b4a	same_window	page=10;identity_line=570;metric_line=570	96.10	2501.03940:6d3419b6e48dc42a	source_owned_row_join	table_row	PAWN Llama-3.1-1B	PAWN (Llama3	10	570	following Table 4: Results in MAGE’s testbeds 2-4. Recalls for both classes and their macro-average are reported due to class	PAWN (Llama3-1b) 95.54% 96.10% 95.82% 0.99	10	570	following Table 4: Results in MAGE’s testbeds 2-4. Recalls for both classes and their macro-average are reported due to class	PAWN (Llama3-1b) 95.54% 96.10% 95.82% 0.99	AUROC	numeric cell 5 of 5 in exact result row	5	following Table 4: Results in MAGE’s testbeds 2-4. Recalls for both classes and their macro-average are reported due to class; exact row/configuration for PAWN Llama-3.1-1B; Review 26 successor re-audit binds this account to the recorded source state, exact row, and numeric column without inheriting the predecessor metric.	0.99	2501.03940:6d3419b6e48dc42a	extracted_primary_pdf_text	papers/canonical_pawn_2501.03940.pdf	0f275dc5864d2b84cb81898bd52d10dd64146522d34cb9ac6d18197fb8bc72db	87a4c360282713a57a042b57e0494e630d4bb65d11aa3dc590c4bdacd50fc495	wrong_column	10	560	following Table 4: Results in MAGE’s testbeds 2-4. Recalls for both classes and their macro-average are reported due to class	Setting Method HumanRec MachineRec AvgRec AUROC	0cb9dd8c7417c162de7c9bca25f2d532b82ac87e6e5c46f8dfaa6d486316948d	10	570	following Table 4: Results in MAGE’s testbeds 2-4. Recalls for both classes and their macro-average are reported due to class	PAWN (Llama3-1b) 95.54% 96.10% 95.82% 0.99	95.82	The derived alternate numeric result cell in the same source row is not the declared account metric column.
2501.03940	2501.03940:mpn-llama31-1b	2501.03940:mpn-llama31-1b@ce17a4df5842e1e2	table_configuration_join	locator=table4;identity_line=540	0.99	2501.03940:a237f4c2cf40e8e3	source_owned_row_join	table_row	MPN Llama-3.1-1B ablation	MPN (Llama3	12	714	following Table 7: Ablations in MAGE’s testbeds 4-8. Recalls for both classes and their macro average are reported due to	MPN (Llama3-1b) 85.49% 81.84% 83.67% 0.927	12	714	following Table 7: Ablations in MAGE’s testbeds 4-8. Recalls for both classes and their macro average are reported due to	MPN (Llama3-1b) 85.49% 81.84% 83.67% 0.927	AUROC	numeric cell 5 of 5 in exact result row	5	following Table 7: Ablations in MAGE’s testbeds 4-8. Recalls for both classes and their macro average are reported due to; exact row/configuration for MPN Llama-3.1-1B ablation; Review 26 successor re-audit binds this account to the recorded source state, exact row, and numeric column without inheriting the predecessor metric.	0.927	2501.03940:f76243182bf398c3	extracted_primary_pdf_text	papers/canonical_pawn_2501.03940.pdf	0f275dc5864d2b84cb81898bd52d10dd64146522d34cb9ac6d18197fb8bc72db	0dc6a0988bc4ea452fb5ccabf766baeb7ef67f1fcf58e655d69316522867a58d	wrong_column	12	706	following Table 7: Ablations in MAGE’s testbeds 4-8. Recalls for both classes and their macro average are reported due to	Setting Method HumanRec MachineRec AvgRec AUROC AvgRec var AUROC var	1b7fa3178e397aa354d7a9dbd83927b784b5dcf7528bf1bafc82355e0004059f	12	714	following Table 7: Ablations in MAGE’s testbeds 4-8. Recalls for both classes and their macro average are reported due to	MPN (Llama3-1b) 85.49% 81.84% 83.67% 0.927	83.67	The derived alternate numeric result cell in the same source row is not the declared account metric column.
2501.08913	2501.08913:alert-v1.1	2501.08913:alert-v1.1@bd1cd55afa6d0287	same_window	page=5;identity_line=275;metric_line=275	91.8	2501.08913:a541b88d6e3dc0c9	source_owned_row_join	table_row	ALERT	alertv11	5	275	following Table 4: TPR at FPR=5% for detectors across different domains on the RAID test set along with their standard	[Al] ALERT v1.1 99.7 95.4 75.7 99.9 99.9 87.2 78.3 98.3 91.8 (9.4)	5	275	following Table 4: TPR at FPR=5% for detectors across different domains on the RAID test set along with their standard	[Al] ALERT v1.1 99.7 95.4 75.7 99.9 99.9 87.2 78.3 98.3 91.8 (9.4)	TPR	numeric cell 10 of 11 in exact result row	10	following Table 4: TPR at FPR=5% for detectors across different domains on the RAID test set along with their standard; exact row/configuration for ALERT; Review 26 successor re-audit binds this account to the recorded source state, exact row, and numeric column without inheriting the predecessor metric.	91.8	2501.08913:a541b88d6e3dc0c9	extracted_primary_pdf_text	papers/2501.08913.pdf	b3cbfa6b88fcbec2e1b15ff9dbf0a9096c7c3cdcf9dd75e8312aa9413f7e8e2b	a78de9346391a839666b0ecc0a86f9b9291e550c3fe1c981f59a01cbb38b028f	wrong_column	5	275	following Table 4: TPR at FPR=5% for detectors across different domains on the RAID test set along with their standard	[Al] ALERT v1.1 99.7 95.4 75.7 99.9 99.9 87.2 78.3 98.3 91.8 (9.4)	a78de9346391a839666b0ecc0a86f9b9291e550c3fe1c981f59a01cbb38b028f	5	275	following Table 4: TPR at FPR=5% for detectors across different domains on the RAID test set along with their standard	[Al] ALERT v1.1 99.7 95.4 75.7 99.9 99.9 87.2 78.3 98.3 91.8 (9.4)	98.3	The derived alternate numeric result cell in the same source row is not the declared account metric column.
2501.08913	2501.08913:alert-v1.2	2501.08913:alert-v1.2@a0e2dee8c50a98b7	same_window	page=5;identity_line=277;metric_line=277	99.5	2501.08913:27d15bdc47f36239	source_owned_row_join	table_row	ALERT	alertv12	5	277	following Table 4: TPR at FPR=5% for detectors across different domains on the RAID test set along with their standard	[Al] ALERT v1.2 99.5 91.3 87.2 99.2 99.9 89.9 64.9 82.8 89.3 (11.0)	5	277	following Table 4: TPR at FPR=5% for detectors across different domains on the RAID test set along with their standard	[Al] ALERT v1.2 99.5 91.3 87.2 99.2 99.9 89.9 64.9 82.8 89.3 (11.0)	TPR	numeric cell 2 of 11 in exact result row	2	following Table 4: TPR at FPR=5% for detectors across different domains on the RAID test set along with their standard; exact row/configuration for ALERT; Review 26 successor re-audit binds this account to the recorded source state, exact row, and numeric column without inheriting the predecessor metric.	99.5	2501.08913:27d15bdc47f36239	extracted_primary_pdf_text	papers/2501.08913.pdf	b3cbfa6b88fcbec2e1b15ff9dbf0a9096c7c3cdcf9dd75e8312aa9413f7e8e2b	ff577e9147f5efc08b735a36d7299394ff2bf90298f58df0f8b207ccce628de4	wrong_column	5	277	following Table 4: TPR at FPR=5% for detectors across different domains on the RAID test set along with their standard	[Al] ALERT v1.2 99.5 91.3 87.2 99.2 99.9 89.9 64.9 82.8 89.3 (11.0)	ff577e9147f5efc08b735a36d7299394ff2bf90298f58df0f8b207ccce628de4	5	277	following Table 4: TPR at FPR=5% for detectors across different domains on the RAID test set along with their standard	[Al] ALERT v1.2 99.5 91.3 87.2 99.2 99.9 89.9 64.9 82.8 89.3 (11.0)	91.3	The derived alternate numeric result cell in the same source row is not the declared account metric column.
